account_id,customer_id,account_number,account_type,currency,balance,status,created_at,updated_at
d09b4990-5114-427e-a848-a90ce68d99d2,0cccb11f-df28-4804-8a07-71e096c266c0,AHAL31676739055020,Savings,PHP,236387.1,ACTIVE,2026-05-06,2026-05-28
3f0df70c-a69e-46e3-bf87-308287435b54,2f934ea5-9869-4d91-89e9-2ca007392671,BYTQ51915247792645,Savings,PHP,308609.6,ACTIVE,2026-03-22,2026-04-29
5f480f5b-0961-4288-818d-85368b4fce13,560f6eb3-11de-42bb-9314-8fc7c9e90e96,CVKO47031943178072,Savings,PHP,160356.24,CLOSED,2024-09-25,2025-02-27
bc776432-230a-4891-a129-3196b9cef079,798d00cf-37e7-4eaf-9dce-70ae81802055,STSE53263194733246,Savings,PHP,142034.01,ACTIVE,2026-02-06,2026-04-09
b8ad1a6a-9c9d-4957-a55c-36a2ea0269d9,a64b8d69-1c7a-4e66-9142-045ffdbc3b99,SOWM47098976939378,Checking,PHP,63400.84,ACTIVE,2024-02-11,2024-06-11
62cb823c-4564-4c9f-84c2-31a257b156c8,ea66fbc1-a239-4f87-b3ab-5182aa7d24f8,UHUE19741302845542,Savings,PHP,498137.52,ACTIVE,2020-03-08,2022-01-16
4d1ec16a-c968-4360-b98d-7c4abddd1e99,e3e39fdb-3adc-43ae-a836-8c484bcd5ecd,RSFW25871775349160,Savings,PHP,463685.84,ACTIVE,2021-06-08,2025-12-01
9c4be25e-dc61-453c-9e71-07ceeb3cb66a,c08a24bb-7c62-4c67-b7e9-eaab5b688df7,UHBP66035201519379,Savings,PHP,45272.21,ACTIVE,2022-10-16,2024-05-23
ef699ca6-b3a1-4e01-8f77-8b7aaf8d2c20,33ea0f04-911b-4d3e-9140-0b586b498c7c,HKLG10129194922809,Checking,PHP,22029.31,ACTIVE,2025-02-11,2025-06-21
61cd57c9-5e37-4ccd-8116-4b374e104a9b,6b4ab0fe-82aa-4cdf-9d74-44285714d590,NNCA43080772260099,Savings,PHP,162043.54,ACTIVE,2021-06-02,2025-05-22
b659fa5c-93f3-4145-b9d2-6cf9c4eb7b90,91e32d47-80ea-4ce0-bdd3-5764516979fd,WKEC33411299337049,Checking,PHP,441665.94,ACTIVE,2022-02-18,2023-07-13
a0a92d76-9623-4c5e-b391-ef723904fca9,f77cbeed-1539-4ee6-8914-7b5440d93e89,OQEJ11453062129400,Checking,PHP,401006.69,ACTIVE,2025-10-22,2025-12-24
7fdb4303-30f9-44dc-98e5-451791ec57b4,41cf88f9-6890-4426-b19f-620c171ebf0c,VUKY05948796956922,Savings,PHP,294521.19,ACTIVE,2024-11-10,2025-09-17
0bec1849-f65d-453b-944a-a33a76cfeab2,8ea2c831-4f03-4dc4-aa30-045c28fa5b83,KZNF46881272759628,Savings,PHP,168451.75,ACTIVE,2021-06-28,2026-03-31
3dd6be7a-8b0f-4855-889a-011a2f278aa0,36187e0b-8d26-44f1-9a26-9189de27f442,ASGI68048656200615,Savings,PHP,312923.41,ACTIVE,2023-08-01,2026-01-01
a26f17ce-8baa-418f-8f8b-b21adb21b4a5,8e817ebd-6e47-4d01-9532-f7498f215061,NKEC27731944769262,Savings,PHP,248392.26,ACTIVE,2021-06-02,2026-02-12
985cfe28-9ca8-4408-862e-b422e098842c,5fc3c67c-9e56-4eff-9fa9-fd5d615b9239,KQDC59034531676206,Savings,PHP,206647.76,ACTIVE,2019-12-24,2024-01-05
d9cf2ad1-70bc-490f-8fd5-2ebe66a2501a,60b91c0e-e069-4657-9d87-d6660636cf92,IWZC87188700940249,Savings,PHP,16256.59,ACTIVE,2019-09-12,2019-10-07
f99e0557-eab9-4a72-ae63-fb35751dbf2e,905c887f-67a6-4649-9c28-cabe699fe697,JTUY19301928921131,Checking,PHP,366982.06,CLOSED,2026-01-16,2026-02-14
681ca730-b7d0-422b-97a1-0417b42ed137,4ad9c122-4a36-4665-ba67-412c24b02785,JXAK10948787395287,Checking,PHP,327194.07,ACTIVE,2024-06-11,2026-04-28
6f6e7553-63ca-4d09-b568-98ab456292b6,51cb20a7-f648-4ad6-8cdc-0fb88ba38591,TYIH89562217847442,Savings,PHP,158934.73,ACTIVE,2022-05-07,2022-06-21
d29a3866-dbf4-49cf-ac41-9cf1b2dc86ae,7ee80523-150b-4b84-8eda-2a857bc8a45e,FQIJ15030626951796,Checking,PHP,135889.53,ACTIVE,2021-03-25,2023-12-01
a720c5f9-7a9a-41cc-ac5d-ca12c2517722,4504beb2-46f7-4021-be5d-78641803b1c8,VVWK04805135427703,Savings,PHP,226381.88,ACTIVE,2023-05-31,2026-04-20
5ef61762-cf68-42d9-b0f3-3fe09abca620,5f600cca-44c8-4de6-9234-d993a05079dc,CJBN82452048614878,Checking,PHP,189021.76,ACTIVE,2019-11-13,2025-02-02
468e9248-e458-445f-8e7e-b048d4b0d091,7abd1d77-9c30-48d8-a428-085ec29ffd5f,TOOL84982942773463,Savings,PHP,39229.85,ACTIVE,2024-12-27,2025-11-09
f766f7be-d67c-41ef-a748-3dfa2cdff2a6,d70bbb7d-d186-4a8d-ac91-aeaef39ef24c,JQES80369808002921,Savings,PHP,266993.95,ACTIVE,2024-08-09,2026-01-16
88acab5a-7789-4512-b8d5-5de055e40491,0d794caa-8a7f-466f-9e36-f8a27e90ca69,DSQQ48806956127344,Savings,PHP,449644.79,ACTIVE,2023-05-04,2025-10-27
c161cb09-aada-40c2-8858-02b7d97102e3,c251ee4b-696f-4bf5-84b1-d198c3ae50c0,PTFZ02038981562259,Checking,PHP,465994.15,DORMANT,2020-07-16,2025-08-29
676beea4-4aae-4384-aac1-16bc5b1a4de1,c0343f86-e9a8-43de-aa1d-27501bb417c4,KUYE69445886714476,Savings,PHP,78301.02,ACTIVE,2022-05-16,2022-11-22
cbc22204-0f88-4ef8-9976-09a46037aae7,c6c4764a-1f84-4cb1-8d6d-3f2d2dc8001d,ZAIK70290074298853,Savings,PHP,108454.4,ACTIVE,2022-10-06,2024-07-23
b5adb682-97ae-4169-9671-5a27a221f1a8,4541aec4-d512-4997-94e7-30abfb041d3b,AMLR71701749283965,Savings,PHP,182919.47,ACTIVE,2022-06-02,2025-12-14
7ecfd933-204c-4bf4-b335-bf44e7dd39b9,148db453-10d2-41a8-98f2-b7f0e9570fd2,SXTO12520774359731,Savings,PHP,134191.59,ACTIVE,2024-01-21,2025-07-10
998b00b2-b51c-478e-9724-8c49bc842931,8ab77c27-c7f0-4acb-83a7-a5f266d90f2c,JXDH78044563003784,Checking,PHP,45064.93,ACTIVE,2025-07-14,2025-10-31
c42d6f2f-8af2-4090-9845-75eae73a7fd1,8ea2c831-4f03-4dc4-aa30-045c28fa5b83,IZAG01352997928060,Checking,PHP,341838.9,ACTIVE,2022-08-18,2022-08-20
2381f050-18d9-4ec6-a634-2b6446b923d8,6e33b4a3-5ab5-4449-b2fc-417e94f07afd,XTPQ09473942674570,Checking,PHP,319024.19,ACTIVE,2022-04-19,2023-11-07
6f594e6a-007c-4551-a17d-d565f2ba6894,1dfc75b4-7feb-46bc-a6f4-019166fc2338,IHLH88473751730155,Savings,PHP,376815.77,ACTIVE,2026-03-10,2026-06-18
2f4bc514-b8cd-48cf-b1c6-77c681c5fdac,7a262b4e-996a-49a4-afea-c6f6d6150e2e,GTAU76839879073924,Savings,PHP,206784.44,ACTIVE,2022-11-01,2024-03-02
566d76fa-e885-4e67-a02e-41aacb912ec7,120206cb-5b1e-4a60-ae00-61874164e06a,MMOH77010490986346,Savings,PHP,434527.5,ACTIVE,2025-09-26,2025-12-29
c9f16898-5f04-4196-aa6b-874ec3a1eb50,4ddcc7a7-f03a-4c41-b2f0-d202103787a8,IDCS55552845170446,Checking,PHP,16377.79,ACTIVE,2024-08-25,2025-03-06
c3adcaac-933d-4455-9e1a-11d65c74932d,1f050414-c2a4-4e33-8fdc-e842d559c4cf,QMKE46696745577925,Checking,PHP,187836.45,ACTIVE,2020-02-19,2024-10-20
257c24b1-3f46-47f4-8558-3f00bc29e5e1,ba7076b4-1272-42f6-9fa0-f67d4d0c4706,RRIK15228144577695,Savings,PHP,380752.91,ACTIVE,2021-10-08,2024-03-02
3ebb591b-ef75-4c4b-873d-f3cb4476481b,bed718e1-5af0-415e-baaa-8cdf7ca64dfc,JWFB44375550608715,Savings,PHP,406190.88,ACTIVE,2025-04-30,2025-10-02
91d7611a-fc4f-4490-bf2c-437928d8a856,e63f2ef0-d1e8-4ad3-8a69-3e82e1c5d97b,PRBM82701314976873,Savings,PHP,195522.33,ACTIVE,2024-09-21,2025-09-16
fd5b1fa4-3ad9-4cde-807d-241d886fbf39,19f93ea9-5210-4e48-b5ce-771394e56214,CSHO82851253172460,Checking,PHP,330517.28,ACTIVE,2026-05-10,2026-05-14
d868301e-dece-4f17-a819-26d4d0ca4641,fee7433c-2a18-4d49-a2e0-60e3a8ff2bbb,WRJO23277816884172,Savings,PHP,426415.91,ACTIVE,2020-03-26,2024-02-12
066a4e9e-34c9-4fa5-b6ac-54cfcaad8966,3b6810da-7992-4837-916f-c81b2ffdfea6,LNBU35666938450845,Savings,PHP,188006.43,ACTIVE,2023-08-30,2024-04-22
6c240035-4b41-4905-b204-5002bd0df6e7,07264e16-c8ed-44b3-8071-23ecd6a9fcc5,XXGI13951426028743,Savings,PHP,45855.29,DORMANT,2025-12-21,2026-06-20
fee6244d-e14c-468e-b176-66e0d941f43f,07264e16-c8ed-44b3-8071-23ecd6a9fcc5,QJZU27559723106856,Savings,PHP,297319.93,ACTIVE,2025-04-07,2026-04-30
c97a4f45-9bfc-4b90-87d8-fddb48da8827,0aaf2e05-48f7-42e2-9148-643ddb29cbd6,RKDU19791925061574,Checking,PHP,95229.71,ACTIVE,2023-08-06,2025-11-18
61d43f8b-d79d-449c-8d1c-c9e77123b33d,6ed11499-bc71-471c-a149-3d433d9a0f5d,VBAZ38788166494619,Checking,PHP,126992.74,DORMANT,2020-11-30,2021-02-02
25cb3f39-bba8-4ed1-8329-890edf941764,ed1aad8c-be64-4dfa-ae97-13ea427508c2,EBJM95332004744820,Savings,PHP,235122.3,ACTIVE,2024-06-23,2025-05-23
df074036-99fb-4a2c-ac52-4006ea679709,bbe197f4-b1ff-4fbd-8717-dd60a3817d4b,FOZM21403224014688,Savings,PHP,120702.27,ACTIVE,2021-07-04,2025-04-03
