card_id,account_id,card_number,card_type,status,expiry_date,created_at
712ba1e8-a11c-47d2-a923-d15a8dfaee66,7131318a-5a33-46f4-924f-ef6ee9525f2e,4064298092968,CREDIT,ACTIVE,2030-01-18,2023-02-21
431222ff-751c-440a-94d6-858cdbf75d87,2be93bb2-5e73-4f21-a911-ae62c49fbb5e,180060267463517,DEBIT,ACTIVE,2031-02-16,2022-02-16
a114c069-a087-4904-a651-472298966824,44bfa6a4-9b05-4903-8bb4-4c5aa06e3cb6,501897062870,CREDIT,EXPIRED,2024-10-07,2024-11-25
2c6a8798-cd46-4c52-b1bb-b2b0636822e2,2d50c65a-9046-49d1-bc3f-7589ab57ee6e,676262719195,CREDIT,ACTIVE,2028-09-20,2021-10-19
f92b9bb2-6d40-4483-bb80-e061152054a8,4b843a37-5842-4bfb-92ea-4942bc4db998,4891218996834505005,CREDIT,ACTIVE,2026-09-27,2026-05-21
42af1123-7b68-41b6-9d85-6ed9a8104c1d,0f2838bc-b392-4c5d-ab58-240f85f43240,3522242431768846,CREDIT,BLOCKED,2030-09-22,2023-06-25
ef0460a5-7945-4e64-8f82-6db8cfd84b5f,dedd9620-98d8-434b-9c1c-9f87ee1851f7,4073891984034,DEBIT,ACTIVE,2031-01-07,2024-01-31
3900782f-0cd7-4579-9f9c-c3be55c45dda,5205f3d9-002e-4e44-870c-318a926b2a15,4685198803174099,DEBIT,ACTIVE,2026-09-25,2021-12-31
ea5e7b27-0132-425f-8921-72f41f28a9b1,62cb823c-4564-4c9f-84c2-31a257b156c8,180069875506849,CREDIT,ACTIVE,2027-05-28,2026-02-19
b369cd2f-5506-4e39-b743-d770bf2ed793,9067036a-a47b-4bc9-944b-b1f5089f189d,4495288260795,CREDIT,BLOCKED,2026-07-09,2024-07-27
f324c0b8-7fa2-4f9c-8ca9-1018f29dd2f2,35e2710f-9c45-4a9b-ac83-3d8141ef5d2d,3598703362068133,CREDIT,BLOCKED,2028-04-10,2026-06-15
4c23ec94-ce21-4f2a-a957-640a20c2b581,7089db3d-347f-497f-b3d2-2e3838da1446,5182203570460963,CREDIT,ACTIVE,2026-10-14,2021-10-01
d661b9e4-281d-4044-835d-359f770dba90,6a0775f8-7a2e-42eb-9397-d617c49b5abc,4568527225397,DEBIT,ACTIVE,2028-03-03,2022-11-14
c84f875d-efb1-499e-a748-87d320716bcb,15c14024-d0c8-40f0-872c-58be656160e6,3511475551574726,DEBIT,ACTIVE,2030-12-10,2024-09-22
025e5474-670d-4fd7-b1bd-13cfdccd3e5c,cf33b552-2cb6-4467-a981-2c8f9a1d6d2f,4066547129012,DEBIT,ACTIVE,2026-12-19,2025-03-04
582b42ec-3b8d-4005-b54b-9cb67ef38049,27fa8e67-c381-4f6d-9969-518782d0a44a,4262851487691058,DEBIT,ACTIVE,2029-09-03,2025-10-26
c24a15b1-d0af-47d7-b9a5-de3559a6617d,50672ee1-46e4-4a25-a870-e54c189f2264,6011248824385180,CREDIT,ACTIVE,2028-01-13,2023-11-17
522be1be-80eb-4586-bb0e-962e3047fb1c,f43a5c78-6f08-49c9-8037-4c4ace57622f,4583669181161161485,DEBIT,ACTIVE,2027-01-22,2025-07-20
954e6faf-58bd-40d5-8460-c0d889474fc2,add347d1-1856-4153-af36-32a4b8d0d360,3538640336959174,DEBIT,ACTIVE,2029-10-13,2022-12-30
543a0cc2-4ea8-4363-84e3-fe0def2a3556,2c238ad6-dadf-47ff-81bf-e252c9f87291,3577217018901600,DEBIT,EXPIRED,2023-10-09,2022-06-03
